court_id,site_id,osm_ref,sport,role,parent_id,lat,lon,length_m,width_m,angle_deg,n_in_feature,n_children,n_overlay,subdivided,guessed,oversized,derived,ring
oh_4012358_-8304591:fb429a4,oh_4012358_-8304591,way/1125087643,tennis,court,,40.1235067,-83.0457642,24.1,11.1,48.2,1,0,0,False,False,False,,"[[-83.0458061, 40.1233917], [-83.0456229, 40.1235565], [-83.0457222, 40.1236216], [-83.0459054, 40.1234568]]"
oh_4012358_-8304591:f574be8,oh_4012358_-8304591,way/1125087644,tennis,court,,40.1232753,-83.0454164,24.1,11.1,48.2,1,0,0,False,False,False,,"[[-83.0454583, 40.1231603], [-83.0452751, 40.1233251], [-83.0453744, 40.1233902], [-83.0455576, 40.1232254]]"
oh_4012358_-8304591:fddef9e,oh_4012358_-8304591,way/1125087645,tennis,court,,40.1231902,-83.0452861,24.1,11.1,48.2,1,0,0,False,False,False,,"[[-83.045328, 40.1230752], [-83.0451448, 40.12324], [-83.0452441, 40.1233051], [-83.0454273, 40.1231403]]"
oh_4012358_-8304591:f636660,oh_4012358_-8304591,way/1125087646,tennis,court,,40.1236331,-83.0451123,24.1,11.1,48.2,1,0,0,False,False,False,,"[[-83.0451542, 40.1235181], [-83.044971, 40.1236829], [-83.0450704, 40.123748], [-83.0452536, 40.1235832]]"
oh_4012358_-8304591:f502b8a,oh_4012358_-8304591,way/1125087647,tennis,court,,40.1239619,-83.0449614,24.1,11.1,48.2,1,0,0,False,False,False,,"[[-83.0450033, 40.1238469], [-83.0448201, 40.1240117], [-83.0449195, 40.1240768], [-83.0451027, 40.123912]]"
oh_4012358_-8304591:fbb8928,oh_4012358_-8304591,way/1125087648,tennis,court,,40.1238797,-83.0448313,24.1,11.1,48.2,1,0,0,False,False,False,,"[[-83.0448732, 40.1237647], [-83.04469, 40.1239295], [-83.0447893, 40.1239946], [-83.0449725, 40.1238298]]"
oh_4012471_-8299859:fda473a,oh_4012471_-8299859,way/547194499,tennis,court,,40.124702,-82.9984839,36.5,18.3,85.4,2,0,0,True,False,False,,"[[-82.9983891, 40.1245331], [-82.9983646, 40.1248615], [-82.9985788, 40.1248709], [-82.9986032, 40.1245425]]"
oh_4012471_-8299859:f17311a,oh_4012471_-8299859,way/547194499,tennis,court,,40.1247114,-82.9986981,36.5,18.3,85.4,2,0,0,True,False,False,,"[[-82.9986032, 40.1245425], [-82.9985788, 40.1248709], [-82.9987929, 40.1248803], [-82.9988174, 40.1245519]]"
oh_4012501_-8311437:fec41b9,oh_4012501_-8311437,way/1495331437,tennis,court,,40.125001,-83.1144552,23.7,11.0,94.4,1,0,0,False,False,False,,"[[-83.1143769, 40.1248996], [-83.1144051, 40.1251123], [-83.1145335, 40.1251023], [-83.1145053, 40.1248896]]"
oh_4012501_-8311437:f594301,oh_4012501_-8311437,way/1495331438,tennis,court,,40.1250144,-83.1142845,23.8,11.0,94.4,1,0,0,False,False,False,,"[[-83.1142062, 40.124913], [-83.1142343, 40.1251258], [-83.1143628, 40.1251158], [-83.1143347, 40.124903]]"
oh_4012567_-8302575:f6c1d40,oh_4012567_-8302575,way/554194412,tennis,court,,40.1256675,-83.0257502,32.3,17.8,91.0,1,0,0,False,False,False,,"[[-83.0256383, 40.1255256], [-83.0256534, 40.1258159], [-83.0258621, 40.1258095], [-83.025847, 40.1255192]]"
oh_4012718_-8396400:f705ec9,oh_4012718_-8396400,way/917821331,tennis,court,,40.1271799,-83.9639979,23.8,10.8,83.6,1,0,0,False,False,False,,"[[-83.9639457, 40.1270692], [-83.9639239, 40.127283], [-83.9640502, 40.1272906], [-83.964072, 40.1270768]]"
oh_4012752_-8300239:f9932fa,oh_4012752_-8300239,way/1435166273,tennis,court,,40.1275192,-83.002487,23.8,11.0,86.1,1,0,0,False,False,False,,"[[-83.0024291, 40.1274099], [-83.0024164, 40.1276239], [-83.0025449, 40.1276284], [-83.0025576, 40.1274144]]"
oh_4012752_-8300239:fa7735c,oh_4012752_-8300239,way/1435166274,tennis,court,,40.1275127,-83.0022958,23.8,11.0,86.1,1,0,0,False,False,False,,"[[-83.0022378, 40.1274035], [-83.0022251, 40.1276174], [-83.0023537, 40.1276219], [-83.0023664, 40.127408]]"
oh_4012939_-8296061:f0807a7,oh_4012939_-8296061,way/435275482,tennis,court,,40.1293949,-82.9606956,23.6,10.7,85.6,1,0,0,False,False,False,,"[[-82.9606406, 40.1292864], [-82.9606254, 40.1294982], [-82.9607506, 40.1295035], [-82.9607658, 40.1292917]]"
oh_4012939_-8296061:fb83909,oh_4012939_-8296061,way/1124512699,tennis,court,,40.1293877,-82.9605241,23.6,10.7,85.6,1,0,0,False,False,False,,"[[-82.9604691, 40.1292791], [-82.9604539, 40.129491], [-82.9605791, 40.1294963], [-82.9605943, 40.1292844]]"
oh_4012997_-8301989:fc4f6be,oh_4012997_-8301989,way/1435165876,tennis,court,,40.1299764,-83.0199846,23.9,10.9,85.9,1,0,0,False,False,False,,"[[-83.0199273, 40.1298663], [-83.0199137, 40.1300817], [-83.0200419, 40.1300865], [-83.0200555, 40.1298711]]"
