site_id,lat,lon,n_features,sports,has_tennis,has_pickleball,has_padel,extent_m,oversized,any_indoor,osm_refs,state
oh_4069031_-8259543,40.690308,-82.595425,2,tennis,True,False,False,27.4,False,False,way/285330519;way/1015074895,OH
oh_4070891_-8247881,40.708906,-82.478813,2,tennis,True,False,False,36.3,False,False,way/918934706;way/918934707,OH
oh_4072563_-8253345,40.725626,-82.533448,3,pickleball;tennis,True,True,False,31.6,False,False,way/1302687343;way/1302687344;way/1302687345,OH
oh_4072897_-8252203,40.728974,-82.522032,6,tennis,True,False,False,84.5,False,False,way/1487034243;way/1487034244;way/1487034245;way/1487034246;way/1487034247;way/1487034248,OH
oh_4073437_-8254021,40.734374,-82.540213,3,tennis,True,False,False,39.9,False,False,way/1487034402;way/1487034403;way/1487034404,OH
oh_4073440_-8254123,40.734398,-82.541231,2,pickleball;tennis,True,True,False,23.8,False,False,way/1487034400;way/1487034401,OH
oh_4073606_-8252291,40.736065,-82.522906,4,tennis,True,False,False,67.1,False,False,way/297458250;way/297458251;way/297458252;way/297458254,OH
oh_4074391_-8255460,40.743913,-82.554605,2,tennis,True,False,False,26.0,False,False,way/1487034595;way/1487034596,OH
oh_4075201_-8254588,40.752011,-82.545877,6,tennis,True,False,False,84.8,False,False,way/339474402;way/1124573724;way/1124573725;way/1124573726;way/1124573727;way/1124573728,OH
oh_4076589_-8263313,40.765893,-82.633133,6,tennis,True,False,False,85.2,False,False,way/918936253;way/918936254;way/918936255;way/918936256;way/918936257;way/918936258,OH
oh_4077231_-8249624,40.772309,-82.496241,4,tennis,True,False,False,55.4,False,False,way/1487033619;way/1487033620;way/1487033621;way/1487033622,OH
oh_4077443_-8245835,40.774426,-82.458345,5,tennis,True,False,False,61.0,False,False,way/918934879;way/918934880;way/918934881;way/918934882;way/918934883,OH
oh_4080035_-8257949,40.800352,-82.579489,2,tennis,True,False,False,28.4,False,False,way/316621197;way/316621198,OH
oh_4087776_-8234519,40.877755,-82.345188,3,tennis,True,False,False,42.2,False,False,way/285331895;way/1181831351;way/1181831352,OH
oh_4087889_-8265440,40.878893,-82.654397,2,tennis,True,False,False,26.6,False,False,way/918936839;way/918936840,OH
oh_4089030_-8266914,40.890303,-82.669142,8,tennis,True,False,False,69.2,False,False,way/1153850567;way/1153850568;way/1153850569;way/1153850570;way/1153850571;way/1153850572;way/1153850573;way/1153850574,OH
oh_4108114_-8240539,41.081138,-82.40539,4,tennis,True,False,False,64.4,False,False,way/893297664;way/893297665;way/893297666;way/893297667,OH
oh_4123117_-8261201,41.231168,-82.612007,7,tennis,True,False,False,116.0,False,False,way/291977393;way/1106492568;way/1106492569;way/1106492570;way/1106492571;way/1106492572;way/1106492573,OH
oh_4127953_-8262288,41.279531,-82.622883,1,tennis,True,False,False,24.8,False,False,way/1416106539,OH
oh_4129579_-8259692,41.29579,-82.596918,5,tennis,True,False,False,71.9,False,False,way/186843729;way/1373495172;way/1373495173;way/1373495174;way/1373495175,OH
oh_4132219_-8248978,41.32219,-82.489776,1,tennis,True,False,False,24.4,False,False,way/345603669,OH
oh_4138978_-8253654,41.389784,-82.536544,1,tennis,True,False,False,23.8,False,False,way/424602936,OH
oh_4139155_-8254134,41.39155,-82.54134,1,tennis,True,False,False,23.7,False,False,way/424602456,OH
oh_4139492_-8257316,41.394917,-82.573164,8,pickleball;tennis,True,True,False,76.4,False,False,way/1485741735;way/1485741736;way/1485741737;way/1485741738;way/1485741739;way/1485741740;way/1485741741;way/1485741742,OH
oh_4140048_-8266111,41.400484,-82.661115,1,tennis,True,False,False,223.3,False,False,way/673089588,OH
oh_4140993_-8236283,41.409932,-82.362829,6,tennis,True,False,False,84.7,False,False,way/1485739596;way/1485739597;way/1485739598;way/1485739599;way/1485739600;way/1485739601,OH
oh_4141348_-8234512,41.413484,-82.345119,1,tennis,True,False,False,31.2,False,False,way/589938746,OH
oh_4142207_-8235694,41.422066,-82.356941,1,tennis,True,False,False,20.8,False,False,way/590003236,OH
oh_4142504_-8235315,41.425045,-82.353149,3,pickleball;tennis,True,True,False,24.7,False,False,way/1537257038;way/1537257039;way/1537257040,OH
oh_4142724_-8234717,41.427243,-82.347172,2,tennis,True,False,False,25.6,False,False,way/591113341;way/1132630907,OH
oh_4144413_-8267387,41.444134,-82.673868,1,tennis,True,False,False,49.3,False,False,way/852553416,OH
oh_3880266_-8226320,38.802659,-82.263199,4,tennis,True,False,False,57.0,False,False,way/1552895636;way/1552895637;way/1552895638;way/1552895639,OH
oh_3881074_-8221139,38.81074,-82.21139,1,tennis,True,False,False,38.0,False,False,way/920904954,OH
oh_3881193_-8220553,38.811935,-82.205531,2,tennis,True,False,False,46.0,False,False,way/1164714762;way/1164714763,OH
oh_3882126_-8218831,38.821257,-82.18831,2,tennis,True,False,False,45.8,False,False,way/920904929;way/1164714769,OH
oh_3885242_-8214567,38.852418,-82.145673,1,pickleball,False,True,False,0.0,False,False,node/10787280079,OH
oh_3899365_-8197214,38.993648,-81.972138,2,tennis,True,False,False,28.1,False,False,way/1065979531;way/1065979532,OH
oh_3899591_-8205964,38.995909,-82.059637,2,tennis,True,False,False,38.3,False,False,way/329817855;way/1152544597,OH
oh_3932113_-8209757,39.321129,-82.097567,6,tennis,True,False,False,65.2,False,False,way/522235274;way/1218280194;way/1218280195;way/1218280196;way/1218280197;way/1218280198,OH
oh_3933600_-8207884,39.335995,-82.078836,3,tennis,True,False,False,36.2,False,False,way/1244779835;way/1411349054;way/1411349055,OH
oh_3933606_-8207566,39.336058,-82.075664,1,pickleball,False,True,False,36.7,False,False,way/1244779836,OH
oh_3937354_-8212811,39.373541,-82.128115,4,tennis,True,False,False,67.7,False,False,way/1280015422;way/1280015423;way/1280015424;way/1280015425,OH
oh_3944122_-8222194,39.441223,-82.221942,2,tennis,True,False,False,31.8,False,False,way/463924512;way/463924513,OH
oh_3949437_-8208736,39.49437,-82.087356,1,tennis,True,False,False,38.1,False,False,way/1025246247,OH
oh_3952966_-8203352,39.529661,-82.033517,2,tennis,True,False,False,28.8,False,False,way/1474820097;way/1474820098,OH
oh_3977942_-8209827,39.779421,-82.098273,2,tennis,True,False,False,31.2,False,False,way/917581503;way/917581504,OH
oh_3981426_-8207466,39.814255,-82.074661,1,tennis,True,False,False,40.1,False,False,way/535300452,OH
oh_3989855_-8201459,39.89855,-82.014587,2,tennis,True,False,False,37.1,False,False,way/1185365182;way/1185365183,OH
oh_3995016_-8195186,39.950161,-81.951858,2,tennis,True,False,False,32.3,False,False,way/1412121710;way/1412121711,OH
oh_3996690_-8201927,39.966904,-82.019271,3,pickleball,False,True,False,26.2,False,False,way/1079709651;way/1079709652;way/1079709653,OH
oh_3996852_-8199119,39.968521,-81.991187,2,tennis,True,False,False,31.2,False,False,way/917578982;way/917578983,OH
oh_3997547_-8200227,39.975468,-82.002267,1,tennis,True,False,False,25.7,False,False,way/1147870474,OH
oh_3997681_-8202832,39.976814,-82.028318,3,tennis,True,False,False,41.7,False,False,way/1077238767;way/1077238768;way/1077238769,OH
oh_4001827_-8211764,40.018274,-82.117645,2,tennis,True,False,False,25.7,False,False,way/917579355;way/917579356,OH
oh_4012167_-8200770,40.121674,-82.007697,2,tennis,True,False,False,31.0,False,False,way/1537250146;way/1537250147,OH
oh_4033545_-8199940,40.335447,-81.999395,1,tennis,True,False,False,24.3,False,False,way/605042747,OH
oh_4066011_-8231466,40.660113,-82.314656,1,tennis,True,False,False,26.0,False,False,way/918934487,OH
oh_4066337_-8210154,40.663368,-82.101541,1,tennis,True,False,False,33.1,False,False,way/1151585462,OH
oh_4068677_-8202101,40.686768,-82.021007,1,tennis,True,False,False,24.1,False,False,way/893547140,OH
oh_4076261_-8197948,40.76261,-81.979478,5,tennis,True,False,False,69.6,False,False,way/1486917713;way/1486917714;way/1486917715;way/1486917716;way/1486917717,OH
oh_4080269_-8219278,40.802694,-82.192785,1,tennis,True,False,False,23.8,False,False,way/893548713,OH
oh_4085485_-8230343,40.854849,-82.303433,2,tennis,True,False,False,26.8,False,False,way/1486918093;way/1486918094,OH
oh_4086433_-8232521,40.86433,-82.325207,6,tennis,True,False,False,107.7,False,False,way/1537252951;way/1537252952;way/1537252953;way/1537252954;way/1537252955;way/1537252956,OH
oh_4087473_-8229388,40.874732,-82.293877,3,pickleball,False,True,False,25.3,False,False,way/1181856787;way/1181856788;way/1181856789,OH
oh_4087467_-8233083,40.874672,-82.330831,6,tennis,True,False,False,79.9,False,False,way/339568145;way/339568146;way/1100641251;way/1100641252;way/1100641253;way/1100641254,OH
oh_4098563_-8219014,40.985628,-82.190141,2,pickleball;tennis,True,True,False,28.9,False,False,way/1153381689;way/1344685366,OH
oh_4104200_-8196513,41.041996,-81.965132,5,tennis,True,False,False,70.3,False,False,way/1219764041;way/1219764042;way/1219764043;way/1219764044;way/1219764045,OH
oh_4109481_-8212001,41.094806,-82.120013,1,tennis,True,False,False,24.3,False,False,way/1072894741,OH
oh_4116942_-8211621,41.169418,-82.116209,2,tennis,True,False,False,27.5,False,False,way/426337126;way/426337128,OH
oh_4117310_-8222802,41.173103,-82.228017,1,tennis,True,False,False,35.6,False,False,way/171852238,OH
oh_4123753_-8222040,41.23753,-82.220398,2,tennis,True,False,False,25.0,False,False,way/426338796;way/426338798,OH
oh_4123919_-8212451,41.239185,-82.124514,2,tennis,True,False,False,37.9,False,False,way/1490707307;way/1490707308,OH
oh_4129665_-8222370,41.296648,-82.223702,10,tennis,True,False,False,195.2,False,False,way/88115241;way/88115262;way/88115345;way/88115396;way/88115588;way/544886839;way/544886840;way/544886841;way/544886842;way/544886843,OH
oh_4130082_-8205958,41.300817,-82.059579,6,tennis,True,False,False,73.8,False,False,way/1327528503;way/1327528504;way/1327528505;way/1327528506;way/1327528507;way/1327528508,OH
