court_id,site_id,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3923302_-8460472:c001,oh_3923302_-8460472,tennis,hybrid,2019,2021,0.532,1,True,low_confidence
oh_3937812_-8434674:c009,oh_3937812_-8434674,tennis,hybrid,2013,2019,0.532,1,True,low_confidence
oh_3937812_-8434674:c009,oh_3937812_-8434674,hybrid,pickleball,2019,2021,0.532,1,True,low_confidence
oh_3952324_-8435119:c001,oh_3952324_-8435119,hybrid,tennis,2013,2015,0.532,1,True,low_confidence;reversion
oh_3990856_-8296791:c003,oh_3990856_-8296791,tennis,removed,2011,2015,0.532,1,True,low_confidence
oh_3998430_-8289068:c003,oh_3998430_-8289068,tennis,hybrid,2017,2019,0.532,1,True,low_confidence
oh_4012167_-8200770:c001,oh_4012167_-8200770,tennis,removed,2021,2023,0.532,1,True,low_confidence
oh_4104200_-8196513:c003,oh_4104200_-8196513,hybrid,tennis,2015,2017,0.532,1,True,low_confidence;reversion
oh_4139294_-8176192:c007,oh_4139294_-8176192,removed,pickleball,2015,2019,0.532,1,True,low_confidence;reversion
oh_4158828_-8364025:c006,oh_4158828_-8364025,tennis,hybrid,2017,2019,0.532,1,True,low_confidence
oh_3904966_-8434988:c005,oh_3904966_-8434988,removed,pickleball,2016,2019,0.533,,True,low_confidence;reversion
oh_3913401_-8446908:c008,oh_3913401_-8446908,hybrid,tennis,2013,2015,0.533,1,True,low_confidence;reversion
oh_3927753_-8456662:c001,oh_3927753_-8456662,tennis,removed,2013,2015,0.533,1,True,low_confidence
oh_3958515_-8432098:c002,oh_3958515_-8432098,hybrid,tennis,2013,2015,0.533,1,True,low_confidence;reversion
oh_4001374_-8306353:c002,oh_4001374_-8306353,tennis,hybrid,2017,2019,0.533,1,True,low_confidence
oh_4013375_-8317393:c003,oh_4013375_-8317393,hybrid,tennis,2013,2015,0.533,1,True,low_confidence;reversion
oh_4123884_-8185331:c005,oh_4123884_-8185331,tennis,hybrid,2017,2019,0.533,1,True,low_confidence
oh_4134520_-8211010:c007,oh_4134520_-8211010,removed,tennis,2015,2019,0.533,1,True,low_confidence;reversion
oh_4149103_-8170266:c003,oh_4149103_-8170266,removed,hybrid,2021,2023,0.533,1,True,low_confidence;reversion
oh_3914020_-8443910:c011,oh_3914020_-8443910,hybrid,tennis,2013,2019,0.534,1,True,low_confidence;reversion
oh_3914188_-8448862:c003,oh_3914188_-8448862,tennis,pickleball,2019,2021,0.534,1,True,low_confidence
oh_3919853_-8424768:c001,oh_3919853_-8424768,tennis,hybrid,2017,2019,0.534,1,True,low_confidence
oh_4003382_-8316548:c004,oh_4003382_-8316548,tennis,hybrid,2019,2021,0.534,1,True,low_confidence
oh_4135618_-8167980:c002,oh_4135618_-8167980,tennis,hybrid,2017,2019,0.534,1,True,low_confidence
oh_4158381_-8358523:c004,oh_4158381_-8358523,tennis,hybrid,2011,2015,0.534,1,True,low_confidence
oh_3934315_-8441805:c003,oh_3934315_-8441805,tennis,removed,2017,2019,0.535,1,True,low_confidence
oh_3969750_-8416632:c006,oh_3969750_-8416632,hybrid,tennis,2013,2015,0.535,1,True,low_confidence;reversion
oh_3999462_-8294406:c006,oh_3999462_-8294406,tennis,hybrid,2017,2019,0.535,1,True,low_confidence
oh_4081367_-8195287:c001,oh_4081367_-8195287,hybrid,removed,2021,2023,0.535,1,True,low_confidence
oh_4135368_-8205494:c001,oh_4135368_-8205494,tennis,removed,2017,2019,0.535,1,True,low_confidence
oh_4158337_-8389048:c002,oh_4158337_-8389048,removed,hybrid,2017,2019,0.535,1,True,low_confidence;reversion
oh_3917914_-8434401:c003,oh_3917914_-8434401,hybrid,tennis,2013,2017,0.536,1,True,low_confidence;reversion
oh_3917992_-8442930:c003,oh_3917992_-8442930,hybrid,tennis,2013,2015,0.536,1,True,low_confidence;reversion
oh_3922630_-8440085:c002,oh_3922630_-8440085,tennis,removed,2019,2021,0.536,1,True,low_confidence
oh_3995311_-8285830:c004,oh_3995311_-8285830,pickleball,tennis,2011,2015,0.536,1,True,low_confidence;reversion
oh_4008854_-8295902:c013,oh_4008854_-8295902,tennis,pickleball,2011,2015,0.536,,True,low_confidence
oh_3917747_-8436766:c002,oh_3917747_-8436766,tennis,hybrid,2021,2023,0.537,1,True,low_confidence
oh_3931610_-8442143:c001,oh_3931610_-8442143,removed,tennis,2015,2017,0.537,1,True,low_confidence;reversion
oh_3938541_-8457297:c005,oh_3938541_-8457297,hybrid,tennis,2013,2015,0.537,1,True,low_confidence;reversion
oh_3949106_-8429745:c002,oh_3949106_-8429745,hybrid,tennis,2013,2015,0.537,1,True,low_confidence;reversion
oh_3970587_-8260894:c003,oh_3970587_-8260894,hybrid,tennis,2021,2023,0.537,1,True,low_confidence;reversion
oh_3999972_-8301999:c003,oh_3999972_-8301999,tennis,hybrid,2017,2019,0.537,1,True,low_confidence
oh_4003900_-8317001:c003,oh_4003900_-8317001,tennis,removed,2011,2013,0.537,1,True,low_confidence
oh_4069697_-8170022:c001,oh_4069697_-8170022,hybrid,removed,2019,2021,0.537,1,True,low_confidence
oh_4131277_-8313309:c001,oh_4131277_-8313309,tennis,hybrid,2017,2019,0.537,1,True,low_confidence
oh_3943996_-8381774:c005,oh_3943996_-8381774,tennis,removed,2015,2017,0.538,1,True,low_confidence
oh_3958515_-8432098:c005,oh_3958515_-8432098,hybrid,tennis,2013,2015,0.538,1,True,low_confidence;reversion
oh_3973672_-8410282:c002,oh_3973672_-8410282,tennis,removed,2013,2017,0.538,1,True,low_confidence
oh_3977723_-8418023:c004,oh_3977723_-8418023,pickleball,removed,2021,2023,0.538,1,True,low_confidence
oh_4076042_-8415974:c007,oh_4076042_-8415974,tennis,hybrid,2011,2015,0.538,1,True,low_confidence
oh_4150486_-8293608:c014,oh_4150486_-8293608,hybrid,tennis,2015,2017,0.538,1,True,low_confidence;reversion
oh_3918154_-8460075:c001,oh_3918154_-8460075,tennis,hybrid,2017,2019,0.539,1,True,low_confidence
oh_3934848_-8444274:c001,oh_3934848_-8444274,tennis,removed,2019,2021,0.539,1,True,low_confidence
oh_3961592_-8418088:c002,oh_3961592_-8418088,hybrid,removed,2019,2021,0.539,1,True,low_confidence
oh_4012358_-8304591:c001,oh_4012358_-8304591,tennis,pickleball,2011,2019,0.539,,True,low_confidence
oh_4012358_-8304591:c010,oh_4012358_-8304591,removed,tennis,2021,2023,0.539,1,True,low_confidence;reversion
oh_4102828_-8160527:c001,oh_4102828_-8160527,hybrid,removed,2011,2013,0.539,1,True,low_confidence
oh_4102828_-8160527:c001,oh_4102828_-8160527,removed,tennis,2013,2015,0.539,1,True,low_confidence;reversion
oh_3907569_-8430542:c002,oh_3907569_-8430542,hybrid,tennis,2013,2015,0.54,1,True,low_confidence;reversion
