court_id,site_id,county,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3899591_-8205964:c001,oh_3899591_-8205964,Meigs,tennis,removed,2013,2014,0.384,1,True,low_confidence
oh_3899591_-8205964:c001,oh_3899591_-8205964,Meigs,removed,tennis,2018,2019,0.57,1,True,low_confidence;reversion
oh_3899591_-8205964:c002,oh_3899591_-8205964,Meigs,tennis,removed,2011,2013,0.711,1,False,
oh_3899591_-8205964:c002,oh_3899591_-8205964,Meigs,removed,tennis,2018,2019,0.401,1,True,low_confidence;reversion
oh_3899591_-8205964:c002,oh_3899591_-8205964,Meigs,tennis,hybrid,2020,2021,0.559,1,True,low_confidence
oh_3899591_-8205964:c002,oh_3899591_-8205964,Meigs,hybrid,tennis,2021,2022,0.47,1,True,low_confidence;reversion
oh_3900417_-8422192:c001,oh_3900417_-8422192,Clermont,removed,pickleball,2015,2019,0.614,,True,reversion
oh_3900831_-8388296:c001,oh_3900831_-8388296,Brown,tennis,removed,2019,2021,0.585,1,True,low_confidence
oh_3902461_-8303519:c001,oh_3902461_-8303519,Pike,tennis,pickleball,2017,2019,0.61,,False,
oh_3902461_-8303519:c001,oh_3902461_-8303519,Pike,pickleball,removed,2021,2023,0.614,1,False,
oh_3902923_-8427071:c001,oh_3902923_-8427071,Clermont,tennis,hybrid,2012,2013,0.764,1,False,
oh_3902923_-8427071:c001,oh_3902923_-8427071,Clermont,hybrid,tennis,2013,2014,0.725,1,True,reversion
oh_3902923_-8427071:c001,oh_3902923_-8427071,Clermont,tennis,hybrid,2016,2017,0.406,1,True,low_confidence
oh_3902923_-8427071:c001,oh_3902923_-8427071,Clermont,hybrid,tennis,2020,2021,0.494,1,True,low_confidence;reversion
oh_3902923_-8427071:c002,oh_3902923_-8427071,Clermont,tennis,hybrid,2017,2018,0.659,1,False,
oh_3902923_-8427071:c002,oh_3902923_-8427071,Clermont,hybrid,tennis,2020,2021,0.621,1,True,reversion
oh_3903552_-8427612:c001,oh_3903552_-8427612,Clermont,tennis,pickleball,2021,2022,0.747,,False,
oh_3903552_-8427612:c002,oh_3903552_-8427612,Clermont,tennis,pickleball,2021,2022,0.56,,True,low_confidence
oh_3903659_-8263494:c001,oh_3903659_-8263494,Jackson,tennis,removed,2019,2023,0.554,1,True,low_confidence
oh_3904532_-8262858:c001,oh_3904532_-8262858,Jackson,tennis,removed,2021,2023,0.659,1,False,
oh_3904966_-8434988:c002,oh_3904966_-8434988,Hamilton,tennis,hybrid,2011,2012,0.519,1,True,low_confidence
oh_3904966_-8434988:c002,oh_3904966_-8434988,Hamilton,hybrid,tennis,2013,2014,0.829,1,True,reversion
oh_3904966_-8434988:c002,oh_3904966_-8434988,Hamilton,tennis,hybrid,2018,2019,0.603,1,False,
oh_3904966_-8434988:c002,oh_3904966_-8434988,Hamilton,hybrid,tennis,2019,2020,0.603,1,True,reversion
oh_3904966_-8434988:c003,oh_3904966_-8434988,Hamilton,tennis,hybrid,2011,2012,0.413,1,True,low_confidence
oh_3904966_-8434988:c003,oh_3904966_-8434988,Hamilton,hybrid,tennis,2013,2014,0.792,1,True,reversion
oh_3904966_-8434988:c003,oh_3904966_-8434988,Hamilton,tennis,hybrid,2017,2018,0.443,1,True,low_confidence
oh_3904966_-8434988:c003,oh_3904966_-8434988,Hamilton,hybrid,tennis,2022,2023,0.873,1,True,reversion
oh_3904966_-8434988:c004,oh_3904966_-8434988,Hamilton,tennis,hybrid,2011,2012,0.47,1,True,low_confidence
oh_3904966_-8434988:c004,oh_3904966_-8434988,Hamilton,hybrid,tennis,2013,2015,0.857,1,True,reversion
oh_3904966_-8434988:c004,oh_3904966_-8434988,Hamilton,tennis,hybrid,2018,2019,0.517,1,True,low_confidence
oh_3904966_-8434988:c004,oh_3904966_-8434988,Hamilton,hybrid,tennis,2019,2020,0.528,1,True,low_confidence;reversion
oh_3904966_-8434988:c005,oh_3904966_-8434988,Hamilton,tennis,removed,2013,2014,0.277,1,True,low_confidence
oh_3904966_-8434988:c005,oh_3904966_-8434988,Hamilton,removed,pickleball,2018,2019,0.337,,True,low_confidence;reversion
oh_3904966_-8434988:c006,oh_3904966_-8434988,Hamilton,removed,pickleball,2018,2019,0.425,,True,low_confidence;reversion
oh_3905531_-8430391:c001,oh_3905531_-8430391,Clermont,tennis,removed,2011,2013,0.651,1,False,
oh_3905696_-8433418:c007,oh_3905696_-8433418,Hamilton,tennis,removed,2016,2018,0.359,1,True,low_confidence
oh_3905696_-8433418:c008,oh_3905696_-8433418,Hamilton,tennis,removed,2016,2018,0.338,1,True,low_confidence
oh_3906036_-8422960:c001,oh_3906036_-8422960,Clermont,tennis,hybrid,2017,2019,0.915,1,False,
oh_3906036_-8422960:c001,oh_3906036_-8422960,Clermont,hybrid,tennis,2021,2023,0.687,1,True,reversion
oh_3906036_-8422960:c002,oh_3906036_-8422960,Clermont,tennis,hybrid,2017,2019,0.897,1,False,
oh_3906036_-8422960:c002,oh_3906036_-8422960,Clermont,hybrid,tennis,2021,2023,0.659,1,True,reversion
oh_3906036_-8422960:c003,oh_3906036_-8422960,Clermont,tennis,hybrid,2017,2019,0.816,1,False,
oh_3906036_-8422960:c003,oh_3906036_-8422960,Clermont,hybrid,tennis,2019,2021,0.691,1,True,reversion
oh_3906158_-8421528:c001,oh_3906158_-8421528,Clermont,removed,tennis,2015,2017,0.555,1,True,low_confidence;reversion
oh_3906158_-8421528:c001,oh_3906158_-8421528,Clermont,tennis,pickleball,2017,2019,0.555,2,True,low_confidence
oh_3906158_-8421528:c001,oh_3906158_-8421528,Clermont,pickleball,tennis,2021,2023,0.386,1,True,low_confidence;reversion
oh_3906389_-8435838:c002,oh_3906389_-8435838,Hamilton,tennis,removed,2011,2016,0.533,1,True,low_confidence
oh_3906997_-8425113:c001,oh_3906997_-8425113,Clermont,removed,tennis,2017,2019,0.763,1,True,reversion
oh_3906997_-8425113:c002,oh_3906997_-8425113,Clermont,removed,tennis,2017,2019,0.818,1,True,reversion
oh_3906997_-8425113:c003,oh_3906997_-8425113,Clermont,removed,tennis,2017,2019,0.821,1,True,reversion
oh_3906997_-8425113:c004,oh_3906997_-8425113,Clermont,removed,tennis,2017,2019,0.791,1,True,reversion
oh_3906997_-8425113:c005,oh_3906997_-8425113,Clermont,removed,tennis,2017,2019,0.806,1,True,reversion
oh_3907455_-8430107:c001,oh_3907455_-8430107,Clermont,tennis,removed,2017,2019,0.488,1,True,low_confidence
oh_3907455_-8430107:c002,oh_3907455_-8430107,Clermont,removed,tennis,2011,2013,0.391,1,True,low_confidence;reversion
oh_3907455_-8430107:c002,oh_3907455_-8430107,Clermont,tennis,removed,2013,2019,0.451,1,True,low_confidence
oh_3907569_-8430542:c001,oh_3907569_-8430542,Clermont,tennis,hybrid,2013,2015,0.401,1,True,low_confidence
oh_3907569_-8430542:c001,oh_3907569_-8430542,Clermont,hybrid,tennis,2015,2017,0.393,1,True,low_confidence;reversion
oh_3907569_-8430542:c001,oh_3907569_-8430542,Clermont,tennis,removed,2017,2019,0.393,1,True,low_confidence
oh_3907580_-8412721:c001,oh_3907580_-8412721,Clermont,removed,tennis,2017,2019,0.666,1,True,reversion
oh_3907580_-8412721:c002,oh_3907580_-8412721,Clermont,removed,tennis,2017,2019,0.647,1,True,reversion
oh_3907580_-8412721:c003,oh_3907580_-8412721,Clermont,removed,tennis,2017,2019,0.727,1,True,reversion
oh_3908015_-8461682:c001,oh_3908015_-8461682,Hamilton,tennis,removed,2013,2016,0.402,1,True,low_confidence
oh_3908015_-8461682:c001,oh_3908015_-8461682,Hamilton,removed,tennis,2016,2018,0.691,1,True,reversion
oh_3908015_-8461682:c001,oh_3908015_-8461682,Hamilton,tennis,hybrid,2018,2019,0.359,1,True,low_confidence
oh_3908015_-8461682:c001,oh_3908015_-8461682,Hamilton,hybrid,removed,2020,2022,0.599,1,True,low_confidence
oh_3908015_-8461682:c002,oh_3908015_-8461682,Hamilton,tennis,hybrid,2016,2017,0.297,1,True,low_confidence
oh_3908015_-8461682:c002,oh_3908015_-8461682,Hamilton,hybrid,removed,2020,2021,0.403,1,True,low_confidence
oh_3908191_-8442032:c001,oh_3908191_-8442032,Hamilton,tennis,removed,2021,2022,0.452,1,True,low_confidence
oh_3908383_-8462934:c001,oh_3908383_-8462934,Hamilton,tennis,removed,2015,2016,0.837,1,False,
oh_3908383_-8462934:c001,oh_3908383_-8462934,Hamilton,removed,tennis,2016,2018,0.932,1,True,reversion
oh_3908383_-8462934:c001,oh_3908383_-8462934,Hamilton,tennis,removed,2019,2020,0.544,1,True,low_confidence
oh_3908406_-8462136:c001,oh_3908406_-8462136,Hamilton,tennis,removed,2016,2017,0.834,1,False,
oh_3908406_-8462136:c001,oh_3908406_-8462136,Hamilton,removed,tennis,2017,2018,0.844,1,True,reversion
oh_3908406_-8462136:c001,oh_3908406_-8462136,Hamilton,tennis,removed,2022,2023,0.56,1,True,low_confidence
oh_3908485_-8427220:c002,oh_3908485_-8427220,Clermont,tennis,pickleball,2019,2021,0.661,,False,
oh_3908485_-8427220:c002,oh_3908485_-8427220,Clermont,pickleball,removed,2021,2023,0.661,1,False,
oh_3908546_-8438433:c001,oh_3908546_-8438433,Hamilton,tennis,hybrid,2015,2016,0.396,1,True,low_confidence
oh_3908555_-8459768:c001,oh_3908555_-8459768,Hamilton,tennis,hybrid,2012,2013,0.492,1,True,low_confidence
oh_3908555_-8459768:c001,oh_3908555_-8459768,Hamilton,hybrid,tennis,2013,2014,0.67,1,True,reversion
oh_3908555_-8459768:c001,oh_3908555_-8459768,Hamilton,tennis,hybrid,2015,2016,0.398,1,True,low_confidence
oh_3908555_-8459768:c001,oh_3908555_-8459768,Hamilton,hybrid,removed,2020,2021,0.806,1,False,
oh_3908555_-8459768:c002,oh_3908555_-8459768,Hamilton,hybrid,removed,2016,2018,0.552,1,True,low_confidence
oh_3908555_-8459768:c002,oh_3908555_-8459768,Hamilton,removed,tennis,2020,2021,0.405,1,True,low_confidence;reversion
oh_3908555_-8459768:c002,oh_3908555_-8459768,Hamilton,tennis,removed,2021,2022,0.533,1,True,low_confidence
oh_3908555_-8459768:c003,oh_3908555_-8459768,Hamilton,tennis,hybrid,2014,2016,0.613,1,False,
oh_3908555_-8459768:c003,oh_3908555_-8459768,Hamilton,hybrid,removed,2016,2018,0.728,1,False,
oh_3908555_-8459768:c004,oh_3908555_-8459768,Hamilton,tennis,hybrid,2014,2016,0.491,1,True,low_confidence
oh_3908555_-8459768:c004,oh_3908555_-8459768,Hamilton,hybrid,removed,2016,2018,0.789,1,False,
oh_3908590_-8462874:c001,oh_3908590_-8462874,Hamilton,tennis,removed,2014,2016,0.777,1,False,
